[2025-10-11 12:05:20] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: 0d8664da...
[2025-10-11 12:24:25] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_25.png.encrypted
[2025-10-11 12:24:27] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-11 12:24:56] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages(6)_page_1.png.encrypted
[2025-10-11 12:25:12] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages(8)_page_1.png.encrypted
[2025-10-11 12:25:57] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages (5)_page_1.png.encrypted
[2025-10-11 12:26:03] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages (5)_page_1.png.encrypted
[2025-10-11 12:26:14] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: nad_report_page_2.png.encrypted
[2025-10-11 12:26:16] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-11 12:27:54] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: 0d8664da...
[2025-10-11 13:31:33] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: 0d8664da...
[2025-10-11 13:31:56] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_certificate (1)_page_1.png.encrypted
[2025-10-11 13:32:17] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: WhatsApp Image 2025-10-03 at 8.54.54 PM.jpeg.encrypted
[2025-10-11 13:32:19] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-11 13:33:02] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: 0d8664da...
[2025-10-11 13:56:34] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: 0d8664da...
[2025-10-11 13:56:45] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: WhatsApp Image 2025-10-03 at 8.54.54 PM.jpeg.encrypted
[2025-10-11 13:56:47] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-11 13:56:55] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: 0d8664da...
[2025-10-11 13:56:58] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: SESSION_TERMINATED | DETAILS: Session terminated. Key file destroyed.
[2025-10-11 13:57:22] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_GENERATED | DETAILS: Key created/retrieved. Key snippet: e53e6c0e...
[2025-10-11 14:37:25] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: e53e6c0e...
[2025-10-11 14:38:13] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_DOWNLOADED | DETAILS: File: WhatsApp Image 2025-10-03 at 8.54.54 PM.jpeg.encrypted
[2025-10-11 14:38:33] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_1.jpg.encrypted
[2025-10-11 14:38:35] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): FORGED_SIGNATURE
[2025-10-11 14:40:04] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: e53e6c0e...
[2025-10-11 14:40:10] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: SESSION_TERMINATED | DETAILS: Session terminated. Key file destroyed.
[2025-10-14 00:22:39] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_GENERATED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 11:32:38] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 11:32:55] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: WhatsApp Image 2025-10-03 at 8.54.54 PM.jpeg.encrypted
[2025-10-14 11:32:57] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 11:38:30] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 11:38:47] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_14.png.encrypted
[2025-10-14 11:38:51] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_14.png.encrypted
[2025-10-14 11:39:15] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_1.png.encrypted
[2025-10-14 11:39:17] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 11:51:01] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 11:51:24] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_13.jpg.encrypted
[2025-10-14 11:51:26] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 12:11:55] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key snippet: cffa590a...
[2025-10-14 12:12:10] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: WhatsApp Image 2025-10-11 at 2.26.14 PM.jpeg.encrypted
[2025-10-14 12:12:12] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: File: WhatsApp Image 2025-10-11 at 2.26.14 PM.jpeg
[2025-10-14 12:12:26] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key snippet: cffa590a...
[2025-10-14 12:14:32] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 12:14:41] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_1.png.encrypted
[2025-10-14 12:14:43] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 12:20:11] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 12:20:25] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_DOWNLOADED | DETAILS: File: genuine_1.png.encrypted
[2025-10-14 12:20:36] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_8.png.encrypted
[2025-10-14 12:20:38] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): FORGED_SIGNATURE
[2025-10-14 12:29:32] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 12:29:46] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_1.png.encrypted
[2025-10-14 12:29:48] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 12:36:22] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 12:36:30] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_31.png.encrypted
[2025-10-14 12:36:51] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_1.png.encrypted
[2025-10-14 12:36:52] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 12:42:35] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 12:42:46] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_10.png.encrypted
[2025-10-14 12:42:55] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_1.png.encrypted
[2025-10-14 12:42:57] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 12:49:04] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 12:49:18] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_1.png.encrypted
[2025-10-14 12:49:21] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 13:00:50] UID: zYWpvIUkOGdxBR0ry04cTxBRkSJ3 | ACTION: KEY_GENERATED | DETAILS: Key created/retrieved. Key snippet: 3f75927c...
[2025-10-14 13:11:15] UID: zYWpvIUkOGdxBR0ry04cTxBRkSJ3 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: 3f75927c...
[2025-10-14 13:13:17] UID: zYWpvIUkOGdxBR0ry04cTxBRkSJ3 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: 3f75927c...
[2025-10-14 16:40:50] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 16:41:17] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_31.png.encrypted
[2025-10-14 16:41:31] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_27.png.encrypted
[2025-10-14 16:41:33] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): FORGED_SIGNATURE
[2025-10-14 16:49:20] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: KEY_RETRIEVED | DETAILS: Key created/retrieved. Key snippet: cffa590a...
[2025-10-14 16:49:38] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_1.jpg.encrypted
[2025-10-14 16:49:40] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): FORGED_SIGNATURE
[2025-10-14 16:50:46] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_12.jpg.encrypted
[2025-10-14 16:50:55] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_25 (1).png.encrypted
[2025-10-14 16:50:56] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 16:51:17] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_31.png.encrypted
[2025-10-14 16:51:28] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_30.png.encrypted
[2025-10-14 16:51:30] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 16:51:47] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_28.png.encrypted
[2025-10-14 16:52:10] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages(4)_page_2.png.encrypted
[2025-10-14 16:52:12] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): FORGED_SIGNATURE
[2025-10-14 16:53:49] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages(4)_page_3.png.encrypted
[2025-10-14 16:54:09] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages(5)_page_1.png.encrypted
[2025-10-14 16:54:21] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages(5)_page_2.png.encrypted
[2025-10-14 16:54:22] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): FORGED_SIGNATURE
[2025-10-14 16:56:51] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages(6)_page_2.png.encrypted
[2025-10-14 16:57:03] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages(4)_page_2.png.encrypted
[2025-10-14 16:57:05] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): FORGED_SIGNATURE
[2025-10-14 16:57:25] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages (4)_page_3.png.encrypted
[2025-10-14 16:57:27] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 16:57:57] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: ADW Scholarship Scheme 2023 - 2024_page_1.png.encrypted
[2025-10-14 16:58:00] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 16:58:16] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_3.jpg.encrypted
[2025-10-14 16:58:17] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): FORGED_SIGNATURE
[2025-10-14 16:59:29] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_29.jpg.encrypted
[2025-10-14 17:00:01] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_(R)LRI04757-Lease-1-02.png.encrypted
[2025-10-14 17:00:04] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: GENUINE, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:00:38] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_(R)LDC02087-SLA-1-01.png.encrypted
[2025-10-14 17:01:04] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_LAK07213-SLA-5-_Z-01.png.encrypted
[2025-10-14 17:01:06] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: GENUINE, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:01:37] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_LAK07213-Lease-a_Z-01.png.encrypted
[2025-10-14 17:01:40] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:01:54] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_LAK07213-SLA-1-_Z-01.png.encrypted
[2025-10-14 17:01:57] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:02:13] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_LAK07249-SLA-5-_Z-01.png.encrypted
[2025-10-14 17:02:16] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:02:35] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_(R)LDC02071-SLA-4-01.png.encrypted
[2025-10-14 17:02:47] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_(R)LDC02087-Lease-SF2-02.png.encrypted
[2025-10-14 17:02:58] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_(R)LDC02087-SLA-4-01.png.encrypted
[2025-10-14 17:03:22] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_LAK07151-Lease-_Z-02.png.encrypted
[2025-10-14 17:03:24] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: GENUINE, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:06:38] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_LAK07178-Lease-a_Z-02.png.encrypted
[2025-10-14 17:06:41] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): FORGED_SIGNATURE
[2025-10-14 17:07:07] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_Download Documents - Executed Lease LNC60480_Redacted-04.png.encrypted
[2025-10-14 17:07:10] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: GENUINE, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:07:36] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_LAK07213-SLA-5-_Z-02.png.encrypted
[2025-10-14 17:07:39] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: GENUINE, Sig(Old): FORGED_SIGNATURE
[2025-10-14 17:08:18] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: gsa_LAK07249-SLA-5-_Z-01.png.encrypted
[2025-10-14 17:08:21] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:09:11] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: Normal(8).jpg.encrypted
[2025-10-14 17:09:13] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:09:34] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: Normal(45).jpg.encrypted
[2025-10-14 17:09:36] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:10:35] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_certificate (1)_page_1.png.encrypted
[2025-10-14 17:10:45] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages (4)_page_2.png.encrypted
[2025-10-14 17:10:46] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:10:57] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: 02_preliminary pages (5)_page_1.png.encrypted
[2025-10-14 17:11:22] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_4.jpg.encrypted
[2025-10-14 17:11:24] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
[2025-10-14 17:11:51] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: DOCUMENT_UPLOADED | DETAILS: File: genuine_27.jpg.encrypted
[2025-10-14 17:11:52] UID: 47a97NRf1wSoq4a63fZN8Kpa8jo1 | ACTION: AI_ANALYSIS_COMPLETED | DETAILS: Doc: FORGED, Sig(Old): GENUINE_SIGNATURE
